papel,cotacao,pl,pvp,psr,dy,pa,pcg,pebit,pacl,evebit,evebitda,mrgebit,mrgliq,roic,roe,liqc,liq2m,patrliq,divbpatr,c5y
BAHI3,8.49,-1.85,2.87,0.568,0.0,0.313,-1.08,-7.76,-0.39,-14.18,-42.41,-0.0733,-0.3194,-0.042199999999999994,-1.5456999999999999,0.19,30172.5,70790000.0,2.65,0.7856000000000001
BAHI4,86.0,-18.78,29.03,5.755,0.0,3.166,-10.98,-78.56,-3.96,-84.98,-254.22,-0.0733,-0.3194,-0.042199999999999994,-1.5456999999999999,0.19,0.0,70790000.0,2.65,0.7856000000000001
BAHI5,65.0,-14.2,21.94,4.35,0.0,2.393,-8.3,-59.37,-2.99,-65.79,-196.83,-0.0733,-0.3194,-0.042199999999999994,-1.5456999999999999,0.19,0.0,70790000.0,2.65,0.7856000000000001
BALM3,9.9,16.92,0.73,0.59,0.0361,0.39,0.92,4.28,1.57,3.5,2.96,0.1378,0.0347,0.1189,0.0429,2.51,242.44,133538000.0,0.19,0.053899999999999997
BALM4,9.8,16.75,0.72,0.584,0.0365,0.386,0.91,4.24,1.55,3.46,2.93,0.1378,0.0347,0.1189,0.0429,2.51,2396.27,133538000.0,0.19,0.053899999999999997
BAUH4,75.0,-275.81,4.28,2.039,0.0,2.577,35.33,50.11,124.26,49.66,30.16,0.0407,-0.0074,0.0721,-0.0155,1.21,5411.68,91408000.0,0.11,0.0173
BAZA3,67.74,3.38,0.78,0.0,0.053399999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2318,0.0,252255.0,4841380000.0,0.0,0.2379
BBAS3,39.02,3.63,0.73,0.0,0.1104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2006,0.0,580973000.0,153547000000.0,0.0,0.1753
BBDC3,11.65,5.98,0.8,0.0,0.0788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1344,0.0,91835500.0,154263000000.0,0.0,0.0613
BBDC4,13.03,6.69,0.9,0.0,0.0775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1344,0.0,736997000.0,154263000000.0,0.0,0.0613
BBSE3,34.05,11.27,8.97,0.0,0.08529999999999999,4.222,0.0,9.67,0.0,0.0,0.0,0.0,0.0,0.0,0.7957,0.0,199396000.0,7596100000.0,0.0,0.0
BBTG11,15.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BBTG12,3.15,132993.0,37998.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857,0.0,0.0,7000.0,0.0,0.0
BBTG13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857,0.0,0.0,7000.0,0.0,0.0
BCAL6,0.28,-1.7,-0.07,1.946,0.0,13.03,-0.09,38.77,-0.07,452.65,452.65,0.050199999999999995,-1.1449,0.3897,0.040999999999999995,0.01,0.0,-290863000.0,-0.74,0.3774
